class_name,accuracy,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17
cooking sausages 73,0.14,0.11934509862263999,0.09089009959598383,0.0825216331501802,0.06316719972963136,0.06054490027750531,0.076851599808534,0.05124890055544675,0.043974867509802174,0.028683733528355765,0.006285099925473333,0.001576200032482545,0.027433600151042143,0.005234433321654799,0.0012430667031556367,0.10596119966904323,0.11095633240143457,0.06350636647741001,0.06722430068254473
dining 91,0.14,0.4241677648862202,0.4337496023893357,0.3897554684480032,0.2643072323004405,0.20302823363939917,0.39613036944071456,0.282411135027806,0.20743733572959897,0.18322936709721888,0.06089990025957425,0.030803766030445687,0.18558466380437216,0.06997623316099247,0.03436836625300346,0.3680097347895303,0.3950181996027629,0.22781283141771952,0.29641993195215854
high jump 151,0.14,0.19492636509339015,0.3363430985132853,0.31015649922688804,0.22187506910959878,0.16972939990361532,0.31041706581115713,0.2185984993616739,0.1655673317273458,0.28822746473948163,0.25478146882057195,0.205936865067482,0.28801346551775936,0.25734136569599303,0.21092683428525916,0.16796360326608029,0.16476326479514436,0.14792859946091969,0.1461865334669749
marching 192,0.14,0.31428460014263787,0.5582076345910627,0.513500703605016,0.3118030306051175,0.2284602687704067,0.5091148633529741,0.3003390684852997,0.20887389853621535,0.4216316653986772,0.35701290409043424,0.29672973693683735,0.4195623978684345,0.36031750257611295,0.3022752977723876,0.2829245344067613,0.2639513319293659,0.2588458683311939,0.21086183102726927
throwing axe 356,0.14,0.13655403386751808,0.326553032824397,0.2974702998469273,0.20225616500079632,0.15709930014610285,0.2955463683505853,0.20776283277670538,0.15528676557540888,0.20875886699358623,0.18127316488673287,0.13369916508483393,0.20859433587392168,0.18744836924622454,0.1372797662094236,0.10071696714758875,0.10133676562011244,0.19490086476008092,0.19785746539036433
tickling 359,0.14,0.31267999705473576,0.21636909824212391,0.18983976635237534,0.16023553412357966,0.14086646609207,0.1875543681224187,0.15344653237958755,0.13879473305741943,0.06871716764767966,0.05348873459051053,0.025298400507122284,0.0683649670665463,0.05007030051611365,0.019594132959594328,0.29226486785809197,0.281397499537468,0.17848783274690308,0.1649106015180548
eating carrots 111,0.125,0.2562250698275036,0.11449791496826545,0.08603753454983233,0.0446820829017088,0.04242715334054082,0.1010100012272596,0.0648166672523237,0.057741494321833474,0.01058107627969649,0.002292743133665579,0.0005205555555100242,0.01017083305762046,0.0016111458380085727,0.0006727430369291041,0.27673017472028744,0.2878696900606155,0.14049586792786914,0.14813947785852685
milking cow 197,0.125,0.17416864590512382,0.17500989356802574,0.15042260295814938,0.1321568389919897,0.10806461629975174,0.14981020798285805,0.12030329956569603,0.10412520670849414,0.0811063193405668,0.07592954879393801,0.0415820143211426,0.08870604275104899,0.0911219443530879,0.05649756963054339,0.12483305320143705,0.13858791755564095,0.10230437441418566,0.12103798638175552
parkour 207,0.125,0.15778954885900018,0.2528745481206311,0.22913704676760568,0.16306229131089314,0.13395253462096057,0.2273305907183222,0.16154135603043765,0.13144295255343122,0.1942824984879957,0.1716538873221725,0.1443619113332696,0.19438083060499697,0.1752277432594241,0.14499145808733171,0.11893933893077903,0.13213197947790223,0.10817239388409583,0.12560520688796203
playing volleyball 251,0.125,0.26515006848507466,0.6352630949020386,0.5945067310333251,0.41441791388723587,0.3074884064992269,0.5867331624031066,0.4060032308101655,0.3005911791324616,0.5256385011143155,0.4757234723369281,0.3990555540223917,0.5232868029011621,0.48513982617192775,0.40524197927779615,0.2171139945586522,0.21114339847531585,0.28426458401812443,0.2845968043141895
