class_name,accuracy,default_confidence,frame_confidence
shoveling snow 299,0.1,0.15246384976777622,0.31405087659625036
sweeping floor 338,0.1,0.15268590602579532,0.3089152576827598
tossing coin 361,0.1,0.19475752216826955,0.3127801775039847
waxing eyebrows 388,0.1,0.05286277573415748,0.11502523209897138
welding 391,0.1,0.047132313786962865,0.14141123016837168
snowboarding 322,0.0851063829787234,0.11150571769768354,0.28626999707408735
cracking neck 76,0.08333333333333333,0.06261106549406405,0.1457275759749529
laughing 180,0.08333333333333333,0.15367885353133884,0.2409623806504514
getting a haircut 138,0.08163265306122448,0.15354773180127101,0.20848752678323795
hugging 158,0.08163265306122448,0.18637193474896435,0.25149965478788844
massaging legs 195,0.08163265306122448,0.04981992467883531,0.13678648917250455
bandaging 13,0.08,0.058361593558339496,0.12636734852362372
blowing nose 26,0.08,0.10514513216221189,0.2006363335585602
bobsledding 28,0.08,0.1380696117108475,0.26555836952417383
catching or throwing softball 50,0.08,0.3154677172344846,0.47998957355740446
checking tires 54,0.08,0.07900758786902468,0.22439628539809578
cleaning windows 65,0.08,0.10796474574923787,0.26362035420657864
climbing tree 68,0.08,0.10605411152110417,0.23329205706511044
eating cake 110,0.08,0.15677989235526246,0.2531721562466772
eating ice cream 115,0.08,0.13586248175837604,0.21463950616796018
feeding birds 123,0.08,0.14849307211270682,0.2570190957166808
feeding goats 125,0.08,0.13659026485948333,0.2208250606087655
kicking soccer ball 175,0.08,0.19007199836196145,0.3713673402430179
making pizza 188,0.08,0.10178395498193403,0.20341026899325185
opening present 204,0.08,0.19734785011647976,0.27907959431084084
playing chess 224,0.08,0.17667807294115673,0.26251702711643937
throwing ball 357,0.08,0.25824571739711855,0.43640289394434656
tossing salad 362,0.08,0.07795988028432116,0.217080856008055
whistling 392,0.08,0.09802689188124185,0.1779317842195102
cooking on campfire 72,0.0625,0.07979987971976958,0.2026408718095688
pumping gas 257,0.0625,0.09964447698558236,0.23225636348511208
crying 79,0.061224489795918366,0.09170069353801813,0.1657990851639471
decorating the christmas tree 89,0.061224489795918366,0.17723436672911244,0.2636504458060584
folding clothes 131,0.061224489795918366,0.10146732768427318,0.2170136108310464
garbage collecting 136,0.061224489795918366,0.12432604424326198,0.274778068830551
setting table 287,0.061224489795918366,0.10890811027081258,0.23817470353393985
texting 355,0.061224489795918366,0.09007414687022096,0.2083325420692368
unboxing 371,0.061224489795918366,0.02969696756071126,0.12003873739280146
applying cream 4,0.06,0.07919375845002444,0.16197093909268276
cleaning toilet 64,0.06,0.04868589287284818,0.1523508333336193
cooking chicken 70,0.06,0.04589079284160254,0.15901431018033108
doing laundry 96,0.06,0.1192741825917415,0.24110507465907008
drinking beer 101,0.06,0.17736629002328996,0.26229825704587295
kitesurfing 177,0.06,0.06905071259434951,0.25870385606602975
rock scissors paper 279,0.06,0.19487466609349494,0.277121732654642
stomping grapes 332,0.06,0.28888991903330485,0.353735035015424
tying bow tie 368,0.06,0.0723722894768555,0.1642632822388542
waxing legs 389,0.06,0.10317592814622235,0.1888621788355866
carving pumpkin 46,0.041666666666666664,0.10536898050258797,0.19497789560606313
catching fish 47,0.041666666666666664,0.13361013418074635,0.2686444542130094
doing nails 97,0.041666666666666664,0.02401975920430367,0.10348125255076752
shaking hands 288,0.041666666666666664,0.1978987388008234,0.2798940833253177
blowing leaves 25,0.04081632653061224,0.14291683677993477,0.3250291171644621
drinking 100,0.04081632653061224,0.1507932427618564,0.22670964275378358
drinking shots 102,0.04081632653061224,0.1374753877697518,0.22286931029008353
eating burger 109,0.04081632653061224,0.14178717137388244,0.22386476370465352
faceplanting 122,0.04081632653061224,0.127226337488312,0.2951806525397074
fixing hair 128,0.04081632653061224,0.11187935343191519,0.19404233471054594
laying bricks 181,0.04081632653061224,0.12457468104815406,0.23167097267338713
smoking hookah 317,0.04081632653061224,0.10654698626882053,0.19371474115817255
barbequing 14,0.04,0.09862564175402631,0.21416690307630826
bookbinding 29,0.04,0.02273096519392493,0.10987994890993434
catching or throwing baseball 48,0.04,0.2450710498893183,0.4323409723201781
changing oil 52,0.04,0.041190291137526716,0.14464040614625742
crossing river 78,0.04,0.11240692531666821,0.2603642071185827
eating hotdog 114,0.04,0.19137572510223427,0.26020979664304655
high kick 152,0.04,0.27543262289864867,0.4195971995494279
holding snake 155,0.04,0.1374281700458711,0.22586439718125137
moving furniture 200,0.04,0.1878687964631667,0.3260810944772336
plastering 216,0.04,0.10877363507670386,0.22660413821697092
playing cards 222,0.04,0.02354390877280977,0.10819174104659167
playing controller 226,0.04,0.05357308054389231,0.14539563307704478
shining shoes 295,0.04,0.0857400175511807,0.17921411703690993
spraying 328,0.04,0.09705148714420768,0.22197484835575987
tickling 359,0.04,0.1421931418661057,0.20840584293706058
unloading truck 372,0.04,0.1681001741194946,0.3079947005240915
water sliding 384,0.04,0.13718749388180326,0.2918849103579602
waxing back 386,0.04,0.06108263122154987,0.12807801873142796
brush painting 35,0.020833333333333332,0.04159036654192247,0.11501190906962355
eating carrots 111,0.020833333333333332,0.10819998885761642,0.19752960194881608
washing hair 381,0.020833333333333332,0.06705298420829511,0.14262839578462108
cleaning shoes 63,0.02040816326530612,0.04605803159541344,0.13293168147825143
counting money 74,0.02040816326530612,0.07333969807496148,0.16304052495907548
eating doughnuts 113,0.02040816326530612,0.1794862576951017,0.25128858402119914
folding paper 133,0.02040816326530612,0.02037045458117286,0.09341939380920307
getting a tattoo 139,0.02040816326530612,0.07339329750710841,0.14320316129076066
trimming trees 366,0.02040816326530612,0.08798457810685117,0.23651065487095518
using remote controller (not gaming) 374,0.02040816326530612,0.04285011344145644,0.15324189607094682
assembling computer 8,0.02,0.02952798751965075,0.12241339114596597
bee keeping 17,0.02,0.08863448199896037,0.20602434428387803
changing wheel 53,0.02,0.09659248142598532,0.20066944069603151
cutting pineapple 82,0.02,0.04193505924334546,0.13768762010722704
drumming fingers 106,0.02,0.0496091874189886,0.13426737282946002
eating watermelon 117,0.02,0.16910729012326978,0.2508378946841041
grinding meat 144,0.02,0.046860099790179854,0.14118439665157811
grooming dog 145,0.02,0.07645513243860347,0.1664591637768822
massaging person's head 196,0.02,0.11801541120791494,0.1735121836900063
opening bottle 203,0.02,0.08514901429616147,0.19019627222185986
reading book 264,0.02,0.1413987313326133,0.24446460111144863
reading newspaper 265,0.02,0.15119871636727397,0.25977423698957297
recording music 266,0.02,0.11409579294707634,0.23970385577098477
sharpening pencil 291,0.02,0.03987985918783838,0.1268608109936591
sneezing 319,0.02,0.08719407380554672,0.17542624223190995
washing hands 382,0.02,0.08155957786214763,0.1784576350325577
watering plants 385,0.02,0.14361864665908125,0.2914187431150148
waxing chest 387,0.02,0.0890754090779869,0.16038159478091332
baby waking up 10,0.0,0.05861729958407867,0.12928692504650802
baking cookies 11,0.0,0.09305325419746363,0.19406891228281117
bending metal 21,0.0,0.06951634501458602,0.17839726298837097
cleaning gutters 61,0.0,0.07703221652035129,0.22048098035222602
cleaning pool 62,0.0,0.09139812178650897,0.23783247973092167
cooking egg 71,0.0,0.03559069614102994,0.14522812756528164
cooking sausages 73,0.0,0.04138458894738502,0.14899582019089508
cutting nails 81,0.0,0.06433772029844188,0.13622408688334373
cutting watermelon 83,0.0,0.058482718761997246,0.15228690325760716
digging 90,0.0,0.1555795877366725,0.2788824456363396
drawing 98,0.0,0.017339967697851136,0.09354601873765546
eating chips 112,0.0,0.11123101090547388,0.19274213513118021
making a cake 184,0.0,0.09109444060796167,0.18918289135854885
making a sandwich 185,0.0,0.07857670201021537,0.17821142696513612
making jewelry 187,0.0,0.029243212508827655,0.11049107590255128
making sushi 190,0.0,0.07035680048820851,0.16147381086354284
making tea 191,0.0,0.046886332105535826,0.1503644007379651
massaging feet 194,0.0,0.05862442002043519,0.14721345336383349
mopping floor 198,0.0,0.13874256758563897,0.2885779056415719
peeling apples 210,0.0,0.06130428670317215,0.15321272344565964
peeling potatoes 211,0.0,0.057475352977684885,0.15100238240646696
playing basketball 220,0.0,0.29089347766664453,0.418438787086826
playing keyboard 236,0.0,0.12091466894040276,0.23580157882575667
playing monopoly 238,0.0,0.11066224678061147,0.20204918479744233
ripping paper 276,0.0,0.1315644007460441,0.2393696656146041
sharpening knives 290,0.0,0.045069597247696255,0.15155911092848398
shaving legs 293,0.0,0.04949496312412637,0.13660473044626045
shredding paper 300,0.0,0.04004231140576056,0.15168786303563905
slapping 314,0.0,0.13163434978714345,0.2240428565603895
sniffing 320,0.0,0.08055209112996323,0.1647561732862054
spray painting 327,0.0,0.059191310969006684,0.15874751854190297
sticking tongue out 331,0.0,0.08262405237226005,0.15442262316026245
swing dancing 342,0.0,0.3916592291111594,0.4405481514199756
taking a shower 347,0.0,0.08670376728022733,0.2031390102599757
weaving basket 390,0.0,0.06552091939517361,0.16735712711057762
yawning 397,0.0,0.07844895063640689,0.14975721700183992
