class_name,accuracy,default_confidence_P0,default_confidence_P1,frame_confidence_P0,frame_confidence_P1
playing harp 234,0.36,0.2842708599514432,0.07866263443893856,0.40253901701289246,12.623275939763175
shot put 298,0.36,0.44967562504521136,0.21437986835197162,0.8268196957986552,7.672874741007238
side kick 302,0.36,0.47579305035626446,0.26785423539302966,0.8951471233848213,15.759484061543429
blowing out candles 27,0.3469387755102041,0.2740027070279745,0.12982632083146753,0.46043366407443925,3.49797982429191
headbanging 149,0.3469387755102041,0.17222791269522947,0.07185368470233766,0.31133948105299414,1.1373516243379385
tap dancing 349,0.3469387755102041,0.515476543036538,0.3117037371659225,0.8982865697203256,6.652649866856555
testifying 354,0.3469387755102041,0.3243980391567977,0.18810222852977948,0.5815579119405907,8.38523201655547
triple jump 367,0.3469387755102041,0.35676395101972536,0.1918620502489224,0.7434246320669491,0.9911969346180443
using segway 375,0.3469387755102041,0.4309524832254814,0.165157999112042,0.6623389702852734,1.672058533840256
yoga 398,0.3469387755102041,0.3513409420944756,0.13485271773303173,0.5831631445189799,4.998377722778769
dining 91,0.34,0.29918405503167056,0.19560595716723683,0.6237367175445978,0.830309936784999
giving or receiving award 140,0.34,0.3926111974645543,0.2549339726236131,0.7219560476170954,3.883291125601108
jetskiing 167,0.34,0.1258303816126453,0.02132405186626646,0.2746170231423023,0.7261504462092211
playing didgeridoo 229,0.34,0.37894129107439944,0.09224837787592854,0.5303992919607446,12.36158081122965
playing kickball 237,0.34,0.44540303955078114,0.24615926962958443,0.7979099159413943,0.928673595309968
punching bag 258,0.34,0.23657160876238792,0.0512887034436067,0.36778247580263645,1.0704015306829209
situp 305,0.34,0.3271608492815936,0.08772540810638006,0.4865608992613143,1.3228030300519595
skydiving 312,0.34,0.15527420860219884,0.042863610517537155,0.3374232774421102,0.33174943179011207
snowkiting 323,0.34,0.10277331255718515,0.00688327775862482,0.24661587727081116,0.6478629199049922
tobogganing 360,0.34,0.17889031853852447,0.03711789581643211,0.3574617860121983,0.5709984141252054
tying tie 370,0.34,0.06755050450166067,0.003102344437440237,0.1169742948280589,0.9013193692639697
playing volleyball 251,0.3333333333333333,0.47050665066566005,0.34297765272634995,0.886434725565639,0.8941247876639524
riding a bike 267,0.3333333333333333,0.3504262088331176,0.07684499240629834,0.5298878518867333,2.0335830492455975
surfing water 337,0.3333333333333333,0.2066508710227998,0.016909236317431485,0.33913780358418466,2.315935552223149
eating spaghetti 116,0.32653061224489793,0.22375751230091379,0.028398674111742912,0.28456271352972895,6.624816231927888
contact juggling 69,0.32,0.3510567581176759,0.07622021908451013,0.4885167359846113,11.479709368851175
juggling fire 170,0.32,0.35916401011149096,0.12053269244829816,0.5527537799017427,10.939416096207287
playing guitar 232,0.32,0.2864759180492825,0.0360771432797114,0.3463908782142764,16.45509725063399
ski jumping 307,0.32,0.13436462936401364,0.019881429690784873,0.3410753977289586,0.3141767534525993
bowling 31,0.30612244897959184,0.2403241764480925,0.07883927402087264,0.4417765822258263,3.9210399271798506
diving cliff 93,0.30612244897959184,0.11059739570769055,0.015594799602833644,0.28131097479672684,0.22170800132782018
hula hooping 159,0.30612244897959184,0.39101338877429237,0.1121053928564826,0.5778246914791532,8.26078503122596
shuffling cards 301,0.30612244897959184,0.04293765957393344,0.007926088375118942,0.11564362740730587,0.10983136761196884
shaving head 292,0.3,0.19531623935699471,0.10633503255689593,0.35503483410572023,0.4462155368178976
stretching leg 334,0.3,0.3200111298561096,0.07104717740482755,0.4707631938421073,10.982657980226943
swinging legs 343,0.3,0.384161723779749,0.08338320695603335,0.604826702992069,5.199559049559416
trimming or shaving beard 365,0.3,0.15209310370551213,0.03866996982715747,0.22458478737982035,1.4448475181514016
windsurfing 393,0.3,0.15284881127145547,0.009155807357143473,0.2884876860836417,1.694001502695202
springboard diving 329,0.2916666666666667,0.16623583684732887,0.025093565081004746,0.3287279370528689,0.36567506552165224
grooming horse 146,0.2857142857142857,0.21066473150649756,0.033268235321082765,0.31192457452167627,1.2023908633488467
skiing (not slalom or crosscountry) 308,0.2857142857142857,0.24146959726502293,0.05959931151036144,0.45440011233341865,0.5959474064175435
slacklining 313,0.2857142857142857,0.39963982349260224,0.09533010188594336,0.5942941650143462,6.382857643957477
archery 5,0.28,0.2216141488287184,0.07773357513833928,0.43964144885832473,10.031852859155997
celebrating 51,0.28,0.29644757204408995,0.22031798266658079,0.620581822663791,0.5707847569050211
jogging 168,0.28,0.303918475511339,0.09758682999566747,0.5262326743646999,0.7587939953335041
playing badminton 218,0.28,0.5302665011935763,0.3268605229413067,0.9359789024858632,1.8628378339965024
riding elephant 269,0.28,0.24537041450783062,0.10669626721099573,0.4479250641823755,0.8288734333717538
riding unicycle 275,0.28,0.3764067884303906,0.06877745872515219,0.5275592398317539,8.117752533162038
scuba diving 286,0.28,0.11293694461804851,0.018563533238790654,0.21975384851856308,0.2782320338672333
dancing macarena 87,0.2653061224489796,0.37477025465269653,0.26274288771103843,0.6848092451918755,0.7506217829662735
playing harmonica 233,0.2653061224489796,0.27753617611061143,0.07744455902890013,0.4174137678292501,3.648517579190609
riding mountain bike 271,0.2653061224489796,0.23902827149706185,0.03134710489036635,0.3994185079029136,0.8362700635007936
bartending 15,0.26,0.39647933191370094,0.13674808003681682,0.5770871455199649,16.194168305313887
dancing ballet 84,0.26,0.458651180352105,0.2971282831916103,0.8470339805195849,2.358630807791271
finger snapping 127,0.26,0.19163824050161574,0.055619355616746115,0.38980032966866757,4.89730829820017
making bed 186,0.26,0.2129209361041034,0.06039990816270864,0.33905544581253083,3.402831361256144
playing piano 241,0.26,0.2768647798396923,0.06960705291297702,0.38407835028805065,4.288905669475058
dunking basketball 107,0.25,0.29703872150844995,0.14584032615416762,0.5950059492223857,4.290602198365868
shooting goal (soccer) 297,0.24489795918367346,0.3190655974159615,0.07859051174317358,0.5407156736379211,0.9950395573561801
walking the dog 378,0.24489795918367346,0.2567141988181924,0.05271682058512396,0.4016979657266977,5.029607547315229
busking 41,0.24,0.5413749520760995,0.40628583782867145,1.0059024581994638,1.1806414746799736
cartwheeling 45,0.24,0.2867476742779767,0.06364237711164686,0.4606968616648761,1.0860553001726274
kicking field goal 174,0.24,0.24586481946132807,0.06920977419261581,0.48546909499040464,1.3941522747109796
petting cat 213,0.24,0.049631721229906424,0.004521725896994272,0.12329056911780625,0.14133557453268866
playing ukulele 249,0.24,0.301139574375859,0.08069918454775102,0.42781257833224046,5.013234764500915
riding scooter 274,0.24,0.35855702939916534,0.03968192647827995,0.507102658744219,3.757397977650149
skiing crosscountry 309,0.24,0.3327848077350193,0.09120929834401165,0.54622839616529,1.8993196985887766
swimming breast stroke 340,0.24,0.15500749333699548,0.055288329786282994,0.31042201742629455,0.3211079768014287
exercising arm 119,0.22448979591836735,0.4690835691237214,0.040351435412805566,0.5938798292325778,26.161733223716748
using computer 373,0.22448979591836735,0.0658164025200017,0.014846348929206981,0.17557317057922098,2.8568606245547445
auctioning 9,0.22,0.3917995999936704,0.2649649239080924,0.7224415015109328,0.7362699222978272
biking through snow 22,0.22,0.21031397317250566,0.030505847937530944,0.352577652196068,2.0256673556888045
hockey stop 154,0.22,0.32911507870709455,0.06021651953105575,0.5455132491085557,3.5276653757818077
playing saxophone 244,0.22,0.3095743627901431,0.10079106762453362,0.4707818519616509,5.711004830028411
playing xylophone 252,0.22,0.3511073401415789,0.11557979066173237,0.5207660670252817,8.501037720475129
pumping fist 256,0.22,0.251503045823839,0.09624760042075758,0.4050841755210414,2.748295783134802
pushing cart 262,0.22,0.292585171282733,0.05840347718221169,0.42427377329530896,7.552713151085276
stretching arm 333,0.22,0.3285759846440067,0.046404815818645334,0.5277146375585756,13.322424966921776
