class_name,accuracy,default_confidence,frame_confidence
eating ice cream 115,0.02,0.15166956289785882,0.15416541134362194
feeding goats 125,0.02,0.1081099957784017,0.11025470786250852
high kick 152,0.02,0.2807470354998553,0.2841526928537208
hitting baseball 153,0.02,0.3487874951680501,0.3528096143190302
jumping into pool 172,0.02,0.11819307091324419,0.12152649202488208
kicking field goal 174,0.02,0.15753729786166432,0.1676682137449669
kicking soccer ball 175,0.02,0.18891258400457872,0.19726717151903597
long jump 182,0.02,0.308938480815181,0.31299940850001523
moving furniture 200,0.02,0.17640622674624126,0.18333555142986482
playing ukulele 249,0.02,0.1909193772969423,0.19401492003901094
pumping fist 256,0.02,0.17387532320375793,0.17628296904343244
reading book 264,0.02,0.15132215749511013,0.15416987375453395
reading newspaper 265,0.02,0.15709281170544803,0.1598899557085217
skiing crosscountry 309,0.02,0.21199705438260671,0.221071942896261
snowkiting 323,0.02,0.054828295774592306,0.05918108814953146
tying tie 370,0.02,0.03532642382515801,0.036338701253143
unloading truck 372,0.02,0.1497441518194145,0.1527022184693855
water sliding 384,0.02,0.13509035215024595,0.13825914179796567
abseiling 0,0.0,0.14167840894063313,0.14822922813901226
air drumming 1,0.0,0.1739940925015704,0.1770702359279504
applauding 3,0.0,0.2549954922004982,0.25736568593551384
archery 5,0.0,0.14967386221709075,0.15620798507393246
bandaging 13,0.0,0.06986623503543714,0.07083649540760227
barbequing 14,0.0,0.09844714294009738,0.10066041478091062
beatboxing 16,0.0,0.15669882191191634,0.1593572193000308
bench pressing 19,0.0,0.16266574544906617,0.16496905903733297
bending metal 21,0.0,0.052266875259964554,0.05617169845998721
blowing leaves 25,0.0,0.13065425292524707,0.13747189640884608
bobsledding 28,0.0,0.13092191949773715,0.13362384604890734
bookbinding 29,0.0,0.022271538898679947,0.023482500380741303
bouncing on trampoline 30,0.0,0.2545673210709183,0.2595797194291806
braiding hair 32,0.0,0.05504749215198841,0.05669056241392209
brush painting 35,0.0,0.04410599269708732,0.04630588741705958
brushing teeth 37,0.0,0.09436105239303023,0.0961794362969656
building shed 39,0.0,0.10693280405821627,0.10998375923823149
bungee jumping 40,0.0,0.0744641759060047,0.07963507795911638
busking 41,0.0,0.4738303990681967,0.47604463463544916
cartwheeling 45,0.0,0.17519502659550423,0.1792521575195169
carving pumpkin 46,0.0,0.07561771431086975,0.0770873005754842
catching fish 47,0.0,0.17876410380373764,0.18222069066534372
catching or throwing baseball 48,0.0,0.2742993374012134,0.27840455937026687
clapping 57,0.0,0.26730706346255767,0.26986627970346116
cleaning gutters 61,0.0,0.07523961041459332,0.07751330217028957
cleaning pool 62,0.0,0.13484541968239677,0.13779862144500704
cleaning shoes 63,0.0,0.03479932131230246,0.03665565063660134
cleaning toilet 64,0.0,0.04485554205576579,0.04724898005883137
climbing tree 68,0.0,0.10911493692751283,0.11195847296017965
cooking egg 71,0.0,0.03436438713647701,0.036986922633308654
cooking on campfire 72,0.0,0.0829606771837046,0.08524794006803521
counting money 74,0.0,0.059310359068198,0.06113828014170768
cracking neck 76,0.0,0.0655610814405444,0.06716383494448065
crossing river 78,0.0,0.05575159863984145,0.05767689546507673
crying 79,0.0,0.09031871056070133,0.09199803061066555
cutting nails 81,0.0,0.03775583025434995,0.03945801758665382
cutting pineapple 82,0.0,0.05358673339066683,0.05498759552299453
cutting watermelon 83,0.0,0.03662509051573568,0.03774623834629663
dancing ballet 84,0.0,0.3778897316826713,0.38101215329319404
dancing charleston 85,0.0,0.42295935249472766,0.4256246678751145
disc golfing 92,0.0,0.16714509627730753,0.17222138199199372
doing laundry 96,0.0,0.1217266785197788,0.1245378129942642
dribbling basketball 99,0.0,0.32193430424443004,0.3276826755537149
drinking 100,0.0,0.17884488113703192,0.1812237721636118
drinking beer 101,0.0,0.19122942064073342,0.19753659765591963
drinking shots 102,0.0,0.13745299774683162,0.13933747544241107
driving tractor 104,0.0,0.14091178408555702,0.1438656026873337
drop kicking 105,0.0,0.19910203648139588,0.2074288169068736
eating burger 109,0.0,0.15234654785554153,0.15413973165775907
eating chips 112,0.0,0.09580261197531666,0.09779142510667793
eating doughnuts 113,0.0,0.17451168593726007,0.17680615526235108
eating hotdog 114,0.0,0.18795025830445466,0.19010933336246347
eating watermelon 117,0.0,0.19784315739384403,0.20002944377613727
feeding birds 123,0.0,0.16345364115326497,0.16610085004522418
finger snapping 127,0.0,0.12362879959389017,0.12652357436497794
folding clothes 131,0.0,0.10413411598176736,0.10663830528904786
folding napkins 132,0.0,0.03059778939794611,0.03352974606830769
folding paper 133,0.0,0.021845338182384468,0.022988944050653128
garbage collecting 136,0.0,0.12433269442163991,0.13152748745892012
getting a haircut 138,0.0,0.1584979222673227,0.1600836805322995
getting a tattoo 139,0.0,0.05597630227774448,0.0571002086472658
giving or receiving award 140,0.0,0.32377258651168256,0.32662025233299
grooming horse 146,0.0,0.12196648267211109,0.12500440347386813
headbutting 150,0.0,0.1634726418848391,0.16614665085972613
holding snake 155,0.0,0.13687540934527362,0.1390931149962263
hoverboarding 157,0.0,0.1398233613279867,0.14314326873134778
ice climbing 162,0.0,0.1363110241686856,0.1392529532902402
