class_name,accuracy,default_confidence_P0,default_confidence_P1,frame_confidence_P0,frame_confidence_P1
tap dancing 349,0.3469387755102041,0.5042909478435028,0.3206158301509064,0.39103838759543014,0.0299837282210717
testifying 354,0.3469387755102041,0.3253422117078356,0.18163333628093467,0.31752995620422436,0.01996200106234233
triple jump 367,0.3469387755102041,0.3646999389260634,0.22217114548985215,0.45808681357374254,0.0181272869318018
using segway 375,0.3469387755102041,0.4513905354974023,0.17364076218678312,0.319480519328165,0.03070342319899862
yoga 398,0.3469387755102041,0.34561036633423925,0.12392490595757828,0.3611687391758636,0.04136681264367688
dining 91,0.34,0.271717117549387,0.17240773868182788,0.4302500995980359,0.015825121253961395
giving or receiving award 140,0.34,0.39099406450754964,0.2713929848832015,0.3167143722327209,0.01606931693729925
jetskiing 167,0.34,0.153827377158876,0.03149594232451855,1.1043510931261016,0.12750282658323805
playing didgeridoo 229,0.34,0.39608260498450837,0.10819847016755899,0.3516852805176488,0.05608751837357495
playing kickball 237,0.34,0.40876485559675424,0.2059023430489592,0.3784565860887966,0.014413843869401801
punching bag 258,0.34,0.24074828000996856,0.04933004772559677,0.47925004445952024,0.0474740367516038
situp 305,0.34,0.31783197736146007,0.08544274489444335,0.37654117314184954,0.03737708574194137
skydiving 312,0.34,0.1597399066439407,0.05003433520137408,0.6520546080180798,0.0370322833534053
snowkiting 323,0.34,0.10640343736982312,0.0101116399922221,1.3715521567006739,0.14817666973880236
tobogganing 360,0.34,0.18721435845618464,0.050141192055388445,0.8486656591998945,0.07087619973671948
tying tie 370,0.34,0.10174583397197952,0.008309742803994054,0.8428960394470013,0.17729246982195945
playing volleyball 251,0.3333333333333333,0.4514087244020629,0.3111882990381087,0.3368897122317539,0.009336109452009892
riding a bike 267,0.3333333333333333,0.3367003469181557,0.05861813928435241,0.4293452810785695,0.053020927678060464
surfing water 337,0.3333333333333333,0.2072657374600969,0.03164375530816512,0.906751876008696,0.0904263809913136
eating spaghetti 116,0.32653061224489793,0.21878183237921145,0.0365970290965504,0.38691905115617553,0.06031776224512178
contact juggling 69,0.32,0.33774065155239613,0.060356086122135576,0.4059490499873293,0.08692974536566808
juggling fire 170,0.32,0.32835430699995,0.09337762516207428,0.42886306347731373,0.0582472716224449
playing guitar 232,0.32,0.2587972191806615,0.041626413308763204,0.4492782613191717,0.08806054611562146
ski jumping 307,0.32,0.14889298710225507,0.02089254298589292,1.1051136195371651,0.10931998533985189
bowling 31,0.30612244897959184,0.24283320810930373,0.06280559847574528,0.6189640794589104,0.06728063504071487
diving cliff 93,0.30612244897959184,0.12417541370632473,0.03145551582414791,1.0137550475524857,0.09598017753276773
hula hooping 159,0.30612244897959184,0.41428333345484575,0.10091610213455332,0.36496484741714175,0.06377539554943691
shuffling cards 301,0.30612244897959184,0.061580900188503394,0.009413651964675598,1.2174267675440258,0.15252680301251562
shaving head 292,0.3,0.21419858379356543,0.10847970128634585,0.3814341562892316,0.021695927307162504
stretching leg 334,0.3,0.3443684302832542,0.06324908091149349,0.4099665431011272,0.06934245018778569
swinging legs 343,0.3,0.37714408966499996,0.06676112738833133,0.45053504186044346,0.05152776461298394
trimming or shaving beard 365,0.3,0.15954172920056067,0.043222440452108456,0.39758425360915667,0.04268979776051154
windsurfing 393,0.3,0.15345484338033344,0.014537001534214077,1.044127720107091,0.11919168951346944
springboard diving 329,0.2916666666666667,0.20409774112170898,0.06915505425871735,0.6688012164935991,0.05215450568192184
grooming horse 146,0.2857142857142857,0.22021547594773194,0.03198940262402978,0.5299260969401047,0.064162685235854
skiing (not slalom or crosscountry) 308,0.2857142857142857,0.2616877134452226,0.04171955868670151,0.739579013221384,0.06911521978623902
slacklining 313,0.2857142857142857,0.40728011677347903,0.08658781245979214,0.41590518539903726,0.05761704327925442
archery 5,0.28,0.25736332853006383,0.0799369904800908,0.5999886273380302,0.07332602180978914
celebrating 51,0.28,0.2735341994264119,0.19575257058945367,0.42648458626692964,0.01756961683147127
jogging 168,0.28,0.3356916596417436,0.12468886937413903,0.5463996723477934,0.05296997981557106
playing badminton 218,0.28,0.48374486765452507,0.2631369786182137,0.31522704557719505,0.015329219494896787
riding elephant 269,0.28,0.26094386764264077,0.12642710396452536,0.4715134048661927,0.02417616764377706
riding unicycle 275,0.28,0.4022678062782967,0.0698047262289937,0.4543814980411259,0.06741477290979504
scuba diving 286,0.28,0.09668578610867862,0.02220514148639034,0.8011232779744242,0.07979772329792151
